,state,district,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,new_enrolments,total_updates,total_activity,stress_index,update_dependency_ratio,is_active,adult_total_updates,bds,child_total_activity,cci
0,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-03-01,0.0,0.0,0.0,0.0,0.0,16.0,193.0,0.0,209.0,209.0,209.0,0.9952380952380953,1,193.0,0.9948453608247423,16.0,0.9411764705882353
1,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-04-01,0.0,0.0,0.0,0.0,0.0,17.0,167.0,0.0,184.0,184.0,184.0,0.9945945945945946,1,167.0,0.9940476190476191,17.0,0.9444444444444444
2,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-05-01,0.0,0.0,0.0,0.0,0.0,22.0,158.0,0.0,180.0,180.0,180.0,0.994475138121547,1,158.0,0.9937106918238994,22.0,0.9565217391304348
3,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-06-01,0.0,0.0,0.0,0.0,0.0,11.0,129.0,0.0,140.0,140.0,140.0,0.9929078014184397,1,129.0,0.9923076923076923,11.0,0.9166666666666666
4,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-07-01,0.0,0.0,0.0,0.0,0.0,20.0,239.0,0.0,259.0,259.0,259.0,0.9961538461538462,1,239.0,0.9958333333333333,20.0,0.9523809523809523
5,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-09-01,23.0,4.0,0.0,3.0,159.0,76.0,241.0,27.0,479.0,506.0,17.107142857142858,0.9447731755424064,1,400.0,0.600997506234414,83.0,0.9047619047619048
7,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-10-01,15.0,0.0,0.0,2.0,73.0,43.0,139.0,15.0,257.0,272.0,16.0625,0.9413919413919414,1,212.0,0.6525821596244131,45.0,0.9347826086956522
8,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-11-01,13.0,0.0,0.0,0.0,212.0,48.0,174.0,13.0,434.0,447.0,31.0,0.96875,1,386.0,0.4496124031007752,48.0,0.9795918367346939
9,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2025-12-01,19.0,1.0,0.0,2.0,299.0,90.0,232.0,20.0,623.0,643.0,29.666666666666668,0.967391304347826,1,531.0,0.43609022556390975,93.0,0.9574468085106383
10,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
11,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
12,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
13,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
14,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
15,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
16,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-09-01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.3333333333333333,1,0.0,0.0,1.0,0.5
17,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
18,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-11-01,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.8,1,4.0,0.0,0.0,0.0
19,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1,1.0,0.5,0.0,0.0
20,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2025-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
22,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2025-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
