state,district,mean_update_to_enrolment_ratio,mean_update_dependency,update_to_enrolment_ratio_volatility,dependency_volatility,pct_active_months,activity_growth_slope
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,106.58363095238096,0.8795675896808696,97.41609807884389,0.3097727934535821,0.9,42.7030303030303
ANDAMAN & NICOBAR ISLANDS,NICOBARS,0.55,0.16333333333333333,1.2572014777097407,0.2856441712911233,0.3,0.2606060606060606
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,6.728472222222223,0.37607125219375376,9.163387022031483,0.4856115855341806,0.4,26.37575757575758
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,149.5324488011988,0.8737437465629428,207.0288781018975,0.30889008863162415,0.9,-9.145454545454545
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,501.6771618625277,0.8843970738782241,563.3519268224153,0.3112742512344286,0.9,-12.933333333333334
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,674.5678323532803,0.8884266917423014,725.6665970421459,0.31246454706611837,0.9,55.93333333333334
ANDHRA PRADESH,ADILABAD,2952.720897521188,0.8892781767553297,3523.1624483295523,0.3128736283958027,0.9,1021.5636363636363
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1600.8681724335918,0.8685375567632233,2209.3799733754036,0.3080040816184978,0.9,48.81818181818185
ANDHRA PRADESH,ANAKAPALLI,835.3407425012663,0.8800303200718258,1143.6946255337127,0.3103517467790291,0.9,208.21818181818185
ANDHRA PRADESH,ANANTAPUR,7389.462129176049,0.8792301237929687,9676.180509785392,0.31038273068321715,0.9,864.6121212121212
ANDHRA PRADESH,ANANTHAPUR,7003.307833061168,0.8805253495114679,8711.226710341984,0.3106602590662886,0.9,-840.9939393939395
ANDHRA PRADESH,ANANTHAPURAMU,11335.803114632143,0.8742611064057824,12617.622467173596,0.30944509737162557,0.9,-1651.4
ANDHRA PRADESH,ANNAMAYYA,2609.908647700486,0.8755163124301903,2965.170088625938,0.30944432548245526,0.9,5.0727272727272785
ANDHRA PRADESH,BAPATLA,882.492952576786,0.880604261099349,1080.4537872808276,0.31039825759680173,0.9,196.63030303030303
ANDHRA PRADESH,CHITTOOR,24137.259490707605,0.8809316591060675,27316.074949521684,0.31073284166453996,0.9,-1021.5575757575758
ANDHRA PRADESH,CUDDAPAH,13320.370364789598,0.8797036927760535,14790.686882999915,0.31039257443602314,0.9,492.75757575757575
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,788.7795652497443,0.8795020538118978,981.9753971500431,0.31026206677550006,0.9,307.2787878787879
ANDHRA PRADESH,EAST GODAVARI,25389.000085543033,0.8842216428571668,28610.88832974735,0.3115066913266406,0.9,-457.6424242424244
ANDHRA PRADESH,ELURU,1001.9878334555011,0.8836005110170069,1335.413892767307,0.3111713621536732,0.9,312.8545454545455
ANDHRA PRADESH,GUNTUR,27591.923147115984,0.8796557598760112,30762.422492789075,0.31031776098150937,0.9,-1421.951515151515
ANDHRA PRADESH,HYDERABAD,6821.741062990535,0.8736395056794389,7538.933696910964,0.3090650865368771,0.9,914.2545454545455
ANDHRA PRADESH,K.V. RANGAREDDY,17.62638888888889,0.5747382912957605,19.63633538719156,0.49490225886801836,0.6,18.26060606060606
ANDHRA PRADESH,K.V.RANGAREDDY,10.477361111111112,0.4741642481123348,12.456834179898753,0.5000090046958175,0.5,48.0
ANDHRA PRADESH,KAKINADA,2011.7281970466888,0.879947471881086,2473.0806009341545,0.31028137923165544,0.9,186.01212121212123
ANDHRA PRADESH,KARIM NAGAR,67.18014827201783,0.8791003430664757,54.9508101631935,0.30939609819567887,0.9,75.60000000000001
ANDHRA PRADESH,KARIMNAGAR,829.3492938298211,0.8862071027708073,943.8338785475983,0.31193398218799784,0.9,490.3454545454546
ANDHRA PRADESH,KHAMMAM,2755.9673889721807,0.8899103421736111,3299.226311705693,0.31303679227721803,0.9,874.5757575757576
ANDHRA PRADESH,KRISHNA,18916.971650463416,0.8828496343352839,20950.079997962766,0.31106293341391106,0.9,-201.01212121212131
ANDHRA PRADESH,KURNOOL,33036.14177422986,0.8756667253792821,36013.22502373132,0.30955411068358757,0.9,-2773.0181818181813
ANDHRA PRADESH,MAHABUB NAGAR,175.2606790617936,0.8756535915139485,212.1857422772086,0.3090904644136996,0.9,885.7212121212123
ANDHRA PRADESH,MAHABUBNAGAR,9.2,0.38022461289070436,13.656398581698697,0.4910294156315846,0.4,7.53939393939394
ANDHRA PRADESH,MAHBUBNAGAR,757.2127095756008,0.8833408658973694,915.3867659626188,0.31121319461794167,0.9,407.8545454545455
ANDHRA PRADESH,MEDAK,1130.234440135346,0.8775227232994812,1295.6987974048739,0.3098956546316051,0.9,582.4606060606061
ANDHRA PRADESH,N. T. R,2790.378291308172,0.8839112368302191,3403.5025155386006,0.3112918007005905,0.9,65.04242424242425
ANDHRA PRADESH,NALGONDA,1573.8381888326824,0.8899025379268364,1820.8206370780263,0.3130192204977204,0.9,1326.739393939394
ANDHRA PRADESH,NANDYAL,2318.3671766169145,0.8749847977442974,2878.6986425517584,0.3092277755064155,0.9,40.763636363636365
ANDHRA PRADESH,NELLORE,11980.375384370729,0.8796455722108215,13091.42134920981,0.3103897690462418,0.9,342.769696969697
ANDHRA PRADESH,NIZAMABAD,561.3368091434886,0.8803954460839508,593.1021432136395,0.31060802812943283,0.9,266.92121212121214
ANDHRA PRADESH,PALNADU,2097.335050240431,0.8756180121855698,2873.1682688002047,0.3094661104334081,0.9,40.54545454545455
ANDHRA PRADESH,PARVATHIPURAM MANYAM,1055.2482035716262,0.8764345323310092,1154.5380539528812,0.3098915710965157,0.9,67.44848484848485
ANDHRA PRADESH,PRAKASAM,15951.546190660505,0.8786566226768538,20877.61767455396,0.3100966338786089,0.9,145.67272727272726
ANDHRA PRADESH,RANGAREDDI,3463.7758982435453,0.8819107577126907,3861.9695652179107,0.31086576327326204,0.9,618.3272727272728
ANDHRA PRADESH,SPSR NELLORE,0.0,0.0,0.0,0.0,0.3,-35.193939393939395
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,1397.0018706847873,0.8641083746330874,1896.639956799274,0.30777768400463384,0.9,339.3333333333333
ANDHRA PRADESH,SRI SATHYA SAI,1536.9003433326152,0.876468640690123,1794.1122801312642,0.3096351842221806,0.9,244.9818181818182
ANDHRA PRADESH,SRIKAKULAM,20145.921142427607,0.8859242189671603,24978.357646460772,0.31191855830845827,0.9,-2354.0
ANDHRA PRADESH,TIRUPATI,2337.442487578518,0.8661302200815006,2929.3396033444087,0.3080199833183677,0.9,222.57575757575756
ANDHRA PRADESH,VISAKHAPATANAM,0.0,0.0,0.0,0.0,0.1,-4.109090909090909
ANDHRA PRADESH,VISAKHAPATNAM,28494.13636248419,0.8819768402110097,32345.703477134757,0.31082859531313645,0.9,-2427.587878787879
ANDHRA PRADESH,VIZIANAGARAM,13589.56044343283,0.8839862559848749,15588.514463031655,0.3114754992517396,0.9,-540.3939393939394
ANDHRA PRADESH,WARANGAL,3454.2842534301853,0.8916131962651453,4169.816550441196,0.31350164055780355,0.9,861.0848484848485
ANDHRA PRADESH,WEST GODAVARI,19580.008568840884,0.8839660675421903,21804.53951914273,0.3114133013341941,0.9,-540.2484848484848
ANDHRA PRADESH,Y. S. R,2042.068518214158,0.8794090948513837,2287.7135202003383,0.3101983131335186,0.9,156.0909090909091
ARUNACHAL PRADESH,ANJAW,106.30681818181817,0.881901143395328,110.54112521530587,0.3105513158136096,0.9,4.363636363636363
ARUNACHAL PRADESH,CHANGLANG,509.53506164302337,0.8645286112250288,649.5368839006859,0.30860375560711756,0.9,138.56363636363636
ARUNACHAL PRADESH,DIBANG VALLEY,38.47,0.8664834901848657,34.49135318372482,0.30558935914031593,0.9,10.58787878787879
ARUNACHAL PRADESH,EAST KAMENG,235.15682273040971,0.8786720236386069,235.50765075224908,0.3096760945914028,0.9,44.26666666666667
ARUNACHAL PRADESH,EAST SIANG,172.90482321959604,0.8825587295006786,165.03510597137165,0.3107771333876157,0.9,111.83030303030303
ARUNACHAL PRADESH,KAMLE,12.802380952380952,0.5505435201387681,20.32957863428851,0.47589919967237887,0.6,9.339393939393942
ARUNACHAL PRADESH,KRA DAADI,107.97419071976617,0.8551250098399503,116.36572049145694,0.30531849477862316,0.9,-8.975757575757575
ARUNACHAL PRADESH,KURUNG KUMEY,251.74355193539404,0.876652799068431,262.73623320730906,0.30944589454723065,0.9,-33.58787878787879
ARUNACHAL PRADESH,LEPARADA,3.8,0.34814814814814815,6.129165250396392,0.4517405246381664,0.4,2.254545454545455
ARUNACHAL PRADESH,LOHIT,249.66394557823128,0.8779490449249702,264.5912633635322,0.3097051477511957,0.9,53.290909090909096
ARUNACHAL PRADESH,LONGDING,164.06928668885297,0.7823050521724804,217.0681321564377,0.32482694447195176,0.9,14.927272727272728
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,145.8957288401254,0.8763829242475605,158.00715352932792,0.3093126318959271,0.9,31.418181818181818
ARUNACHAL PRADESH,LOWER SIANG,24.75846153846154,0.5745191855007595,38.70346820401327,0.49491389557002785,0.6,15.375757575757577
ARUNACHAL PRADESH,LOWER SUBANSIRI,208.3481350991171,0.8804990555168086,217.9624770297095,0.31019657991336635,0.9,14.375757575757577
ARUNACHAL PRADESH,NAMSAI,435.3785473117508,0.8806949168658598,446.9960598915586,0.31076207655139615,0.9,20.957575757575757
ARUNACHAL PRADESH,PAKKE KESSANG,8.55,0.47041878952537947,9.575576570978201,0.49602511408878963,0.5,3.618181818181818
