state,district,mean_update_dependency,max_update_dependency,dependency_volatility
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,0.8795675896808696,0.9961538461538462,0.3097727934535821
ANDAMAN & NICOBAR ISLANDS,NICOBARS,0.16333333333333333,0.8,0.2856441712911233
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,0.37607125219375376,0.9558823529411765,0.4856115855341806
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0.8737437465629428,0.9985119047619048,0.30889008863162415
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0.8843970738782241,0.9993045897079277,0.3112742512344286
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0.8884266917423014,0.999479979199168,0.31246454706611837
ANDHRA PRADESH,ADILABAD,0.8892781767553297,0.9998958767180341,0.3128736283958027
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,0.8685375567632233,0.9998560944020722,0.3080040816184978
ANDHRA PRADESH,ANAKAPALLI,0.8800303200718258,0.9997235277854576,0.3103517467790291
ANDHRA PRADESH,ANANTAPUR,0.8792301237929687,0.9999664755774582,0.31038273068321715
ANDHRA PRADESH,ANANTHAPUR,0.8805253495114679,0.9999570225201995,0.3106602590662886
ANDHRA PRADESH,ANANTHAPURAMU,0.8742611064057824,0.9999628446161849,0.30944509737162557
ANDHRA PRADESH,ANNAMAYYA,0.8755163124301903,0.9998587969500141,0.30944432548245526
ANDHRA PRADESH,BAPATLA,0.880604261099349,0.9995944849959448,0.31039825759680173
ANDHRA PRADESH,CHITTOOR,0.8809316591060675,0.9999858268609332,0.31073284166453996
ANDHRA PRADESH,CUDDAPAH,0.8797036927760535,0.9999718856307459,0.31039257443602314
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,0.8795020538118978,0.9996260284218399,0.31026206677550006
ANDHRA PRADESH,EAST GODAVARI,0.8842216428571668,0.9999858777008898,0.3115066913266406
ANDHRA PRADESH,ELURU,0.8836005110170069,0.9996968778417702,0.3111713621536732
ANDHRA PRADESH,GUNTUR,0.8796557598760112,0.9999865991262631,0.31031776098150937
ANDHRA PRADESH,HYDERABAD,0.8736395056794389,0.9999466581319678,0.3090650865368771
ANDHRA PRADESH,K.V. RANGAREDDY,0.5747382912957605,0.9824561403508771,0.49490225886801836
ANDHRA PRADESH,K.V.RANGAREDDY,0.4741642481123348,0.9716981132075472,0.5000090046958175
ANDHRA PRADESH,KAKINADA,0.879947471881086,0.9998307093279161,0.31028137923165544
ANDHRA PRADESH,KARIM NAGAR,0.8791003430664757,0.9936305732484076,0.30939609819567887
ANDHRA PRADESH,KARIMNAGAR,0.8862071027708073,0.9995612110574813,0.31193398218799784
ANDHRA PRADESH,KHAMMAM,0.8899103421736111,0.9998926923489645,0.31303679227721803
ANDHRA PRADESH,KRISHNA,0.8828496343352839,0.9999800979182423,0.31106293341391106
ANDHRA PRADESH,KURNOOL,0.8756667253792821,0.9999875533649478,0.30955411068358757
ANDHRA PRADESH,MAHABUB NAGAR,0.8756535915139485,0.9980952380952381,0.3090904644136996
ANDHRA PRADESH,MAHABUBNAGAR,0.38022461289070436,0.9743589743589743,0.4910294156315846
ANDHRA PRADESH,MAHBUBNAGAR,0.8833408658973694,0.9996283909327388,0.31121319461794167
ANDHRA PRADESH,MEDAK,0.8775227232994812,0.9997152619589977,0.3098956546316051
ANDHRA PRADESH,N. T. R,0.8839112368302191,0.9998867753623188,0.3112918007005905
ANDHRA PRADESH,NALGONDA,0.8899025379268364,0.999766355140187,0.3130192204977204
ANDHRA PRADESH,NANDYAL,0.8749847977442974,0.9998595308329822,0.3092277755064155
ANDHRA PRADESH,NELLORE,0.8796455722108215,0.9999648048428537,0.3103897690462418
ANDHRA PRADESH,NIZAMABAD,0.8803954460839508,0.9993055555555556,0.31060802812943283
ANDHRA PRADESH,PALNADU,0.8756180121855698,0.9998761149653121,0.3094661104334081
ANDHRA PRADESH,PARVATHIPURAM MANYAM,0.8764345323310092,0.9996316758747698,0.3098915710965157
ANDHRA PRADESH,PRAKASAM,0.8786566226768538,0.9999797242497972,0.3100966338786089
ANDHRA PRADESH,RANGAREDDI,0.8819107577126907,0.9998976877429916,0.31086576327326204
ANDHRA PRADESH,SPSR NELLORE,0.0,0.0,0.0
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.8641083746330874,0.9998194945848375,0.30777768400463384
ANDHRA PRADESH,SRI SATHYA SAI,0.876468640690123,0.9997649271274095,0.3096351842221806
ANDHRA PRADESH,SRIKAKULAM,0.8859242189671603,0.9999862908532573,0.31191855830845827
ANDHRA PRADESH,TIRUPATI,0.8661302200815006,0.9998654104979812,0.3080199833183677
ANDHRA PRADESH,VISAKHAPATANAM,0.0,0.0,0.0
ANDHRA PRADESH,VISAKHAPATNAM,0.8819768402110097,0.9999870466321243,0.31082859531313645
ANDHRA PRADESH,VIZIANAGARAM,0.8839862559848749,0.9999755531108666,0.3114754992517396
ANDHRA PRADESH,WARANGAL,0.8916131962651453,0.9999176615891313,0.31350164055780355
ANDHRA PRADESH,WEST GODAVARI,0.8839660675421903,0.9999818837297777,0.3114133013341941
ANDHRA PRADESH,Y. S. R,0.8794090948513837,0.9998277347114557,0.3101983131335186
ARUNACHAL PRADESH,ANJAW,0.881901143395328,0.997289972899729,0.3105513158136096
ARUNACHAL PRADESH,CHANGLANG,0.8645286112250288,0.9995039682539683,0.30860375560711756
ARUNACHAL PRADESH,DIBANG VALLEY,0.8664834901848657,0.9917695473251029,0.30558935914031593
ARUNACHAL PRADESH,EAST KAMENG,0.8786720236386069,0.9981308411214953,0.3096760945914028
ARUNACHAL PRADESH,EAST SIANG,0.8825587295006786,0.9977064220183486,0.3107771333876157
ARUNACHAL PRADESH,KAMLE,0.5505435201387681,0.9850746268656716,0.47589919967237887
ARUNACHAL PRADESH,KRA DAADI,0.8551250098399503,0.9969604863221885,0.30531849477862316
ARUNACHAL PRADESH,KURUNG KUMEY,0.876652799068431,0.9984126984126984,0.30944589454723065
ARUNACHAL PRADESH,LEPARADA,0.34814814814814815,0.9444444444444444,0.4517405246381664
ARUNACHAL PRADESH,LOHIT,0.8779490449249702,0.9986282578875172,0.3097051477511957
ARUNACHAL PRADESH,LONGDING,0.7823050521724804,0.9983136593591906,0.32482694447195176
