state,district,mean_bds,max_bds
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,0.7110026991860798,0.9958333333333333
ANDAMAN & NICOBAR ISLANDS,NICOBARS,0.05,0.5
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,0.2051369139610535,0.5806451612903226
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0.6030482635817392,0.9932432432432432
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0.547936469502633,0.9977973568281938
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0.5751888231182924,0.9985714285714286
ANDHRA PRADESH,ADILABAD,0.6428033236827994,0.9998278236914601
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,0.570291935358506,0.9991158267020336
ANDHRA PRADESH,ANAKAPALLI,0.3557977512980417,0.997920997920998
ANDHRA PRADESH,ANANTAPUR,0.5696532756675439,0.9998424948810837
ANDHRA PRADESH,ANANTHAPUR,0.5829998165483556,0.9996055226824457
ANDHRA PRADESH,ANANTHAPURAMU,0.288088534757825,0.510498687664042
ANDHRA PRADESH,ANNAMAYYA,0.11584418605113714,0.17853705486044275
ANDHRA PRADESH,BAPATLA,0.22053521166386542,0.9939759036144579
ANDHRA PRADESH,CHITTOOR,0.38739451509583267,0.9023872679045093
ANDHRA PRADESH,CUDDAPAH,0.4932147350475281,0.9998246844319776
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,0.29147640773527755,0.9959677419354839
ANDHRA PRADESH,EAST GODAVARI,0.4411524324883548,0.8788391462779802
ANDHRA PRADESH,ELURU,0.3596307292343033,0.9978401727861771
ANDHRA PRADESH,GUNTUR,0.39879151922428585,0.6991725768321513
ANDHRA PRADESH,HYDERABAD,0.6898340295921959,0.9999200319872051
ANDHRA PRADESH,K.V. RANGAREDDY,0.39838381131064055,0.9230769230769231
ANDHRA PRADESH,K.V.RANGAREDDY,0.31453130125688267,0.9230769230769231
ANDHRA PRADESH,KAKINADA,0.22417567868539084,0.998371335504886
ANDHRA PRADESH,KARIM NAGAR,0.6766742207276766,0.9915254237288136
ANDHRA PRADESH,KARIMNAGAR,0.6412934560469912,0.9993808049535604
ANDHRA PRADESH,KHAMMAM,0.5643615801685826,0.9997767857142857
ANDHRA PRADESH,KRISHNA,0.49237464253392516,0.9298419789856871
ANDHRA PRADESH,KURNOOL,0.39321931565431817,0.551860119047619
ANDHRA PRADESH,MAHABUB NAGAR,0.6522163250662909,0.9974747474747475
ANDHRA PRADESH,MAHABUBNAGAR,0.21039089559623947,0.7209302325581395
ANDHRA PRADESH,MAHBUBNAGAR,0.6412116989879527,0.9992337164750957
ANDHRA PRADESH,MEDAK,0.6448880225282945,0.9994720168954594
ANDHRA PRADESH,N. T. R,0.23143450381840705,0.9989417989417989
ANDHRA PRADESH,NALGONDA,0.5969507847537134,0.9997029114676174
ANDHRA PRADESH,NANDYAL,0.17031276512930119,0.463882618510158
ANDHRA PRADESH,NELLORE,0.5689876392849016,0.9998812210476303
ANDHRA PRADESH,NIZAMABAD,0.65142820956961,0.9989827060020345
ANDHRA PRADESH,PALNADU,0.22404740920096025,0.9974937343358395
ANDHRA PRADESH,PARVATHIPURAM MANYAM,0.4433169850945964,0.9984756097560976
ANDHRA PRADESH,PRAKASAM,0.48934390358559643,0.9998735297837359
ANDHRA PRADESH,RANGAREDDI,0.6721749341867608,0.9998446963814257
ANDHRA PRADESH,SPSR NELLORE,0.0,0.0
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.2912536952028487,0.9984709480122325
ANDHRA PRADESH,SRI SATHYA SAI,0.2183180630387168,0.5038265306122449
ANDHRA PRADESH,SRIKAKULAM,0.40323640221645807,0.7477301571805135
ANDHRA PRADESH,TIRUPATI,0.21390624050374538,0.9982517482517482
ANDHRA PRADESH,VISAKHAPATANAM,0.0,0.0
ANDHRA PRADESH,VISAKHAPATNAM,0.45395683388678487,0.8759505703422054
ANDHRA PRADESH,VIZIANAGARAM,0.4962675342308839,0.9998333888703765
ANDHRA PRADESH,WARANGAL,0.6073775484461534,0.9998274374460742
ANDHRA PRADESH,WEST GODAVARI,0.4230546580320846,0.7586960038828668
ANDHRA PRADESH,Y. S. R,0.11871778384435347,0.22138836772983114
ARUNACHAL PRADESH,ANJAW,0.520915732039051,0.9901960784313726
ARUNACHAL PRADESH,CHANGLANG,0.522616410950526,0.9976190476190476
ARUNACHAL PRADESH,DIBANG VALLEY,0.577589144515615,0.9761904761904762
ARUNACHAL PRADESH,EAST KAMENG,0.6362514634182317,0.9959183673469387
ARUNACHAL PRADESH,EAST SIANG,0.5157199800524863,0.9950248756218906
ARUNACHAL PRADESH,KAMLE,0.25881063381063385,0.9743589743589743
ARUNACHAL PRADESH,KRA DAADI,0.5593697082785336,0.9880952380952381
ARUNACHAL PRADESH,KURUNG KUMEY,0.692921804302226,0.9981378026070763
ARUNACHAL PRADESH,LEPARADA,0.061111111111111116,0.5
ARUNACHAL PRADESH,LOHIT,0.5823936492160023,0.996742671009772
ARUNACHAL PRADESH,LONGDING,0.530564198500619,0.9945054945054945
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0.5543913266557201,0.9928571428571429
ARUNACHAL PRADESH,LOWER SIANG,0.16382665555003686,0.9090909090909091
ARUNACHAL PRADESH,LOWER SUBANSIRI,0.5243026360221178,0.9949238578680203
ARUNACHAL PRADESH,NAMSAI,0.5528413328177639,0.9975903614457832
ARUNACHAL PRADESH,PAKKE KESSANG,0.18850074947635923,0.8571428571428571
ARUNACHAL PRADESH,PAPUM PARE,0.5529572043290882,0.998546511627907
ARUNACHAL PRADESH,SHI-YOMI,0.6334735363439281,0.9736842105263158
ARUNACHAL PRADESH,SIANG,0.5024214231003867,0.9891304347826086
ARUNACHAL PRADESH,TAWANG,0.5221138901620138,0.9915966386554622
ARUNACHAL PRADESH,TIRAP,0.4987999016311157,0.989010989010989
